                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250218"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      701                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057387872430443E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  4.3057387872430443E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836675538498E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836675538498E+000                 -4.9256836676638729E+000                 -1.4521986232628695E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416908966412245E+000                  5.3986990945158145E-002                  2.6626486305462616E-001                  3.9055379011938807E+000                  0.0000000000000000E+000                  1.4891917203161618E+001                  1.4483780738109878E-001                  6.6225825279087402E+000                  6.2123283091533743E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        4 
                                       5                                      700                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444248321E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388968444248321E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836716473869E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256836716473869E+000                 -4.9256836717574100E+000                 -1.4521986328675052E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882544154650E+000                  5.3976415262967051E-002                  2.6626485966505059E-001                  3.9055379079730317E+000                  0.0000000000000000E+000                  1.4891917204966701E+001                  1.4483780846835076E-001                  6.6225825286215114E+000                  6.2123283091490200E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      10                                      700                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087928603E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388971087928603E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256836832318536E+000                 -9.8999999999999986E+001                 -2.0072099696478681E+001                 -4.9256836832318527E+000                 -4.9256836833418758E+000                 -1.4521986585083360E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882556499788E+000                  5.3976420212416290E-002                  2.6626485967074859E-001                  3.9055379079616359E+000                  0.0000000000000000E+000                  1.4891917209978645E+001                  1.4483781148747699E-001                  6.6225825306002992E+000                  6.2123283091369264E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      15                                      700                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963799247E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8388989963799247E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837008184915E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9256837008184915E+000                 -4.9256837009285137E+000                 -1.4521986918556838E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882382489733E+000                  5.3976350681614618E-002                  2.6626485970735758E-001                  3.9055379078884180E+000                  0.0000000000000000E+000                  1.4891917217302250E+001                  1.4483781590809772E-001                  6.6225825334829098E+000                  6.2123283091193149E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      20                                      700                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068305915895E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389068305915895E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837270991252E+000                 -9.8999999999999986E+001                 -2.0169009709486737E+001                 -4.9256837270991243E+000                 -4.9256837272091474E+000                 -1.4521987308183773E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882412371270E+000                  5.3976363076605291E-002                  2.6626485992854498E-001                  3.9055379074460430E+000                  0.0000000000000000E+000                  1.4891917227794638E+001                  1.4483782226445735E-001                  6.6225825375901026E+000                  6.2123283090942405E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      25                                      700                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389535508689E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8389389535508689E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256837647192926E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256837647192926E+000                 -4.9256837648293148E+000                 -1.4521987689343611E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882458031941E+000                  5.3976381845244489E-002                  2.6626486018073131E-001                  3.9055379069416705E+000                  0.0000000000000000E+000                  1.4891917242456756E+001                  1.4483783120604576E-001                  6.6225825432712417E+000                  6.2123283090596060E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      30                                      700                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729484704553E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8390729484704553E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838126052100E+000                 -9.8999999999999986E+001                 -2.0470039705150718E+001                 -4.9256838126052100E+000                 -4.9256838127152323E+000                 -1.4521987959303180E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882469719702E+000                  5.3976386903057019E-002                  2.6626486037208463E-001                  3.9055379065589637E+000                  0.0000000000000000E+000                  1.4891917262158714E+001                  1.4483784337558517E-001                  6.6225825507530489E+000                  6.2123283090141235E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      35                                      700                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513406126390E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8396513406126390E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838588671394E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838588671394E+000                 -4.9256838589771617E+000                 -1.4521988041264750E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882468329592E+000                  5.3976386385345368E-002                  2.6626486039125091E-001                  3.9055379065206313E+000                  0.0000000000000000E+000                  1.4891917287720226E+001                  1.4483785956445619E-001                  6.6225825600660952E+000                  6.2123283089578485E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4468833607861275E-003                  9.3805276451495410E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      40                                      700                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651648727033E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999926399996E-001                  3.8422651648727033E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.9256838757850909E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.9256838757850918E+000                 -4.9256838758951131E+000                 -1.4521987923496631E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6416882460720292E+000                  5.3976382265089752E-002                  2.6626485985298337E-001                  3.9055379075971666E+000                  0.0000000000000000E+000                  1.4891917321103431E+001                  1.4483788169510026E-001                  6.6225825712557871E+000                  6.2123283088911141E-001                  8.5000496627254196E-001                  1.2966429887659310E+000                  6.9999999999999984E-001                  2.7997020236474879E-001                  3.4468833607861258E-003                  9.3805276451495393E-003                  3.4468833607861288E-003                  9.3805276451495393E-003                  7.0000000000000007E-001                  2.7997020236474884E-001                                        0                                        2 
